of_gls,of_time_domain,empca_rank1,rq_of_ampl_0,resid_of,resid_empca_rank1
10410.392365755832,10410.393629608041,10410.274699029578,10411.027965837742,5683597254195178.0,5698067898257984.0
10400.783664275421,10400.782911690581,10400.65936504577,10402.90689376036,5678159266631320.0,5694033338796848.0
10391.886398027817,10391.884722116725,10391.776265416218,10390.74870091416,5734542284740046.0,5747408866127638.0
10401.262803540778,10401.264892522862,10401.153348321566,10400.803310952548,5691478710424448.0,5704203722560886.0
10410.928038465061,10410.925453113387,10410.81956413445,10411.713205375028,5695488867006529.0,5708007641360269.0
10410.38837050923,10410.389295090103,10410.274307149855,10408.931380108632,5744617827226150.0,5758323308037446.0
10412.770004517371,10412.768770420947,10412.680795370386,10413.052624661957,5705547754443383.0,5713975049067440.0
10391.917469470569,10391.917705226235,10391.810521602189,10391.782321009952,5691818151586663.0,5704009671003508.0
10386.46840417629,10386.469730700293,10386.334378053087,10386.101283013984,5800211114876448.0,5818138486659047.0
10407.335523789208,10407.337324743703,10407.233563962549,10407.181964122037,5624636550995676.0,5635771706431338.0
10405.165291391353,10405.165016755209,10405.057908510671,10406.313681493531,5730906935293014.0,5743192948859880.0
10413.579997486777,10413.579572726368,10413.504326769778,10413.470947582746,5784474629553794.0,5790026034760128.0
10394.895673643823,10394.898096212482,10394.780557115497,10395.542364508554,5663573688189732.0,5677497702104845.0
10417.397810946452,10417.39619366894,10417.31701231371,10416.285636175333,5759938128823038.0,5766577341509153.0
