of_gls,of_time_domain,empca_rank1,rq_of_ampl_0,resid_of,resid_empca_rank1
10409.406551980686,10409.406037553706,10409.293433893548,10408.478333497542,5715141719091961.0,5728646192749658.0
10402.06690625706,10402.066757668974,10401.96091341065,10404.483769525816,5750427469071306.0,5762418018351457.0
10391.951327986131,10391.952164001275,10391.806974904863,10392.03435691986,5755107510291415.0,5775227820379487.0
10412.670726783093,10412.670487622907,10412.591308554121,10413.29090831842,5739997251943946.0,5746345038890876.0
10410.491946873468,10410.490545538136,10410.35349954309,10411.845775918533,5687878944111335.0,5706762349777707.0
10414.330052359035,10414.329252729702,10414.222739126364,10412.596229376486,5695752944639939.0,5708025723709406.0
10394.123498903351,10394.123210282058,10394.011717275007,10393.030404916935,5647056895306082.0,5660273606110460.0
10406.269682949314,10406.270247121021,10406.170968379789,10406.303528342538,5770115500989933.0,5780561745391578.0
10413.33554565922,10413.335893949583,10413.249604465693,10413.006183672374,5702706142925537.0,5710439187573592.0
10411.48092225923,10411.48056194487,10411.382433652107,10412.290998976348,5709439281993350.0,5719837505844865.0
10412.629864346747,10412.628783520895,10412.574545119629,10412.588656459731,5770582181223543.0,5771811524247608.0
10411.246043294497,10411.247004085797,10411.133184833818,10410.969094369406,5762337373288746.0,5775787239886956.0
10391.890938959197,10391.890427658733,10391.768180420417,10392.864928654708,5828313977216606.0,5843856864963242.0
10412.424114718213,10412.422309603548,10412.29199024819,10413.959991825786,5751200747167220.0,5768742809272527.0
10415.79454409832,10415.795353295278,10415.650540204788,10415.924672737652,5735705259976195.0,5755773450729238.0
10419.843261049036,10419.841403297853,10419.724345186836,10420.4121528628,5733330258675864.0,5748069974999088.0
10396.389901737959,10396.388514613735,10396.272555600739,10398.550990148513,5719567607103584.0,5733964927880058.0
10397.484926387655,10397.485885208655,10397.374113348875,10400.23040753859,5770249375210660.0,5783261547515811.0
10409.536373469049,10409.539398589071,10409.423104781474,10409.838324254657,5691907575484966.0,5705444063284430.0
10390.264339267787,10390.26350765226,10390.137599475325,10391.98917925426,5701420943428222.0,5717806807791268.0
10393.367589686048,10393.36658309117,10393.258496282908,10393.890423724302,5663027441866153.0,5675674052038610.0
10410.435809311024,10410.434208959547,10410.349033232498,10410.644049236333,5672632710902987.0,5680543817287626.0
10411.36998470458,10411.370208283592,10411.250580659658,10412.747263082616,5696583398718658.0,5711423362048591.0
10394.318636466061,10394.3194570703,10394.230679885952,10394.339698614614,5785988404278578.0,5794153806599946.0
10393.026064249945,10393.023899440725,10392.902196535808,10393.776542932063,5684604585414899.0,5700383162603839.0
10388.825211024056,10388.823344740811,10388.71862913333,10386.818930281273,5735915075493714.0,5748028531049841.0
10413.045978857343,10413.044337089626,10412.94774257392,10412.933432414147,5675007790501419.0,5685352402374570.0
10412.406251372277,10412.40746379489,10412.320511908852,10412.642384134544,5734688227805262.0,5742378676138029.0
10409.92507432371,10409.923066001802,10409.813965630576,10411.221442295657,5775607532531161.0,5788685486544582.0
10411.806014275327,10411.806417441674,10411.707797331932,10413.467714274439,5739852365535488.0,5750192890898555.0
10401.700284269962,10401.70224619221,10401.614158495668,10402.78194376202,5766014584105039.0,5773789893694422.0
10436.407204203351,10436.404944974203,10436.242884417463,10438.084025889222,5686296371154787.0,5710708175393861.0
10407.349870954458,10407.351110814325,10407.236423652766,10410.468329380412,5887188734235018.0,5900762503640717.0
10390.651013819304,10390.6507108288,10390.544368050492,10390.37903904677,5749105382247731.0,5761232664541222.0
10408.285780699845,10408.2873601854,10408.177799766894,10411.30939846469,5677395794095354.0,5689809309517637.0
10404.885973521044,10404.883999167389,10404.760054808305,10406.107247995167,5668826682612589.0,5685046583587233.0
10394.977840609605,10394.979832597815,10394.857436879129,10396.569369006947,5778128625958275.0,5793173722852720.0
10409.875501250504,10409.878197016282,10409.791885187245,10413.610032992141,5758233897006031.0,5765474156973731.0
10413.882274367617,10413.88163767851,10413.789881670073,10413.571429828988,5704033818949888.0,5713137133672837.0
10406.213946519812,10406.212732765984,10406.07010733194,10407.117793342744,5812510510722696.0,5832534955281628.0
10389.896188717432,10389.895281931094,10389.809162517859,10392.365725283247,5746589981924115.0,5754559193903586.0
10404.19739172939,10404.196979712395,10404.11371053474,10405.286697706431,5724509799741512.0,5731765664748797.0
10414.269482174246,10414.26797788457,10414.147325345997,10414.449850688356,5759313950185201.0,5774739877585667.0
10413.760924365457,10413.759002319546,10413.651374433179,10410.86169803336,5654873082268125.0,5667620874869331.0
10392.532945875546,10392.533113358835,10392.421283127867,10391.839229460258,5729215172685408.0,5742406264278762.0
10406.928633236992,10406.9294455872,10406.785624180216,10407.173522014327,5713401883039307.0,5733250764957001.0
10390.245790752646,10390.24737316532,10390.141931876133,10389.888839959118,5777089751808505.0,5788626327749787.0
10409.537618849832,10409.535081902612,10409.413423104796,10410.836942428945,5725014951164720.0,5740871569621620.0
10398.015431525837,10398.014501729082,10397.918109912453,10396.185628229532,5820962722692152.0,5831113570734165.0
10397.838450350218,10397.840962117503,10397.696347754836,10397.364439733845,5781134498995636.0,5800782963010529.0
10415.53084900716,10415.53014117629,10415.432737200923,10414.575623804114,5724217301638363.0,5734535425478060.0
10409.998392327903,10409.998758922617,10409.875643043371,10411.115004904417,5739482243046491.0,5755031959133759.0
10400.966285878874,10400.968560694168,10400.830254223161,10402.478443244141,5736573527411991.0,5754936773356397.0
10396.057958995727,10396.058972731702,10395.942609372303,10396.56251431159,5700227249867106.0,5714201077026695.0
10413.83117575178,10413.833497867538,10413.715259169396,10413.217957827339,5770474936383783.0,5784575126294223.0
10400.487765319742,10400.486617895007,10400.391423564868,10399.520589696423,5732502546641707.0,5742445441471236.0
10396.648639902465,10396.650586855045,10396.521196001662,10395.734882737228,5769454366585030.0,5785993176368494.0
10410.952479226366,10410.952555847183,10410.861846636164,10409.811428644287,5713755974968711.0,5722485914680946.0
10385.539645936953,10385.540678508924,10385.423293070427,10385.99706780207,5734536225351971.0,5748719039954020.0
10395.448591283417,10395.448384721221,10395.33297397591,10396.557806979115,5806500485775337.0,5820530868650492.0
10411.127930683562,10411.127844260605,10411.028886066035,10411.339635627213,5722195312699724.0,5732711615940627.0
