of_amp_gls,of_amp_td,emp_amp_scaled,resid_of,resid_emp
8439.115821951573,8439.114091964268,8437.47370339545,5.355295525009993e+17,1.1116893830936033e+18
8439.03529685636,8439.035203829419,8437.55777085961,5.359933139985372e+17,1.1121421452599209e+18
8423.208618176657,8423.20448404372,8428.736898122554,5.3350495405606086e+17,1.1074946041072844e+18
8421.01646043132,8421.017975869381,8420.204857352286,5.335386344003998e+17,1.1072297161340092e+18
8423.836195666587,8423.831424258035,8425.689647217441,5.3398632009635117e+17,1.1080615953751415e+18
8422.22120449295,8422.217851191577,8419.244375764345,5.338539225875232e+17,1.107709218664047e+18
8438.04884320846,8438.044284893847,8435.83203008464,5.3582957814361734e+17,1.1118437415052227e+18
8396.690334278308,8396.68850374054,8395.779248603578,5.3089671443630496e+17,1.1012780974056718e+18
8437.647729245577,8437.64550210527,8437.971301021997,5.353848797191646e+17,1.1113442182185165e+18
8433.105699655787,8433.10396215734,8429.074303990776,5.356988427574154e+17,1.1110383721986954e+18
8434.339949668692,8434.337667820875,8432.798457798059,5.357733816960067e+17,1.1112812725282839e+18
8436.562154196334,8436.561674489365,8434.455381795917,5.3578654322060595e+17,1.1115977473519726e+18
8417.199050403657,8417.194385045565,8412.012482023149,5.335038374268e+17,1.1066750146130787e+18
8441.789400129153,8441.787284768463,8444.638346844382,5.358352598270846e+17,1.1123601007814871e+18
8438.809144819481,8438.809168448564,8437.331400575027,5.361520484029599e+17,1.1122700004336461e+18
8437.38328923427,8437.381127865181,8436.357646815884,5.360216169502648e+17,1.1119448877571882e+18
8435.86514078368,8435.861904666992,8433.132756789943,5.357868149615344e+17,1.1115028935777641e+18
8420.736925072235,8420.73396043884,8415.582376957049,5.3424690310983795e+17,1.1079000055487564e+18
8431.345499626976,8431.344788161392,8425.00220688841,5.35516804736552e+17,1.11061624099345e+18
8436.190374663438,8436.189386111193,8437.147497199237,5.356858143367714e+17,1.1114461943670692e+18
8422.806066463427,8422.80452685783,8422.235706352953,5.341516810353119e+17,1.1080866204960276e+18
8422.898874964974,8422.895668475614,8422.795925978102,5.340984312594743e+17,1.108046007277096e+18
8440.595560381722,8440.595138559142,8441.694547767464,5.360655836221234e+17,1.1124274149501853e+18
8424.065509246433,8424.06694166432,8419.702574858224,5.340910437726632e+17,1.1081977282207903e+18
8435.952621627846,8435.95084594769,8434.570246953926,5.3547613084464755e+17,1.1112041165547565e+18
8424.800391927563,8424.798903703373,8423.322307113749,5.349084191650758e+17,1.1091152022706584e+18
8424.327695033933,8424.326604712493,8421.923592426978,5.339451182754232e+17,1.1080874911582117e+18
8437.677952618425,8437.673633621835,8436.357043333737,5.355575160837965e+17,1.1115210214806196e+18
8445.131686270066,8445.130418678506,8447.080743436834,5.3652470543287763e+17,1.1135061763069448e+18
8433.067870958666,8433.066070604917,8432.446327264048,5.352846372973387e+17,1.1106189206635346e+18
8425.074722874118,8425.073782374944,8426.658528465765,5.337979472012857e+17,1.1080420501354266e+18
8435.427190003678,8435.426515486171,8437.622877527872,5.34876529178978e+17,1.1105327102572475e+18
8421.360290575452,8421.357571497803,8421.410170208814,5.336029907243013e+17,1.1073408997235118e+18
8439.851343838016,8439.848267343905,8440.112024228865,5.3619755559875136e+17,1.1124577752831444e+18
